//Pointer=Name	GameType	comment(address)
C9640=ENDING STAFFROLL	{J}	//B3B414
C4888=ENDING STAFFROLL	{U}	//AA2084
71CF8=efxEvilEye(NoNameProc)	{J}	//604144
6F748=efxEvilEye(NoNameProc)	{U}	//5D9A1C
71E8C=efxStoneBG(NoNameProc)	{J}	//6042CC
6F8DC=efxStoneBG(NoNameProc)	{U}	//5D9BA4
691C=EventScriptEngine	{J}	//5B90F0
89E4=EventScriptEngine	{U}	//591358
D9EFC=SIOTERM	{U}	//085A9BA0
DEEBC=SIOTERM	{J}	//085D3AA8
D9F00=SIOPRA	{U}	//085A979C
DEEC0=SIOPRA	{J}	//085D36A4
D9F04=SIOBAT	{U}	//085A9888
DEEC4=SIOBAT	{J}	//085D3790
D9F08=SIORESULT	{U}	//085A9D38
DEEC8=SIORESULT	{J}	//085D3C40
D9F0C=SIOUnK	{U}	//085A9DF8
DEECC=SIOUnK	{J}	//085D3D00
C3A54=MNCH WorldMap Procs	{U}	//08A3D748
BEEB4=MNCH WorldMap Procs	{J}	//08AC1108
3831C=Display Record evaluation screen	{J}	//085C6B74 戦績
381F0=Display Record evaluation screen	{U}	//0859E64C 戦績
BD03C=Display tactics evaluation screen	{J}	//08AC0F10 攻略評価
BC054=Display Fin Screen	{J}	//08AC0CD0 FIN
A2C0C=SensekiComment	{J}	//08A95370 戦績コメント
A0958=SensekiComment	{U}	//08A1962C 戦績コメント(ただしFE8Uは動作せず)
A5758=SupportScreenMain	{J}	//08A95B70 支援画面
A1980=SupportScreenMain	{U}	//08A1975C 支援画面

00006BB0=TextBoxSlideAnimation	{U}	//085914C8
00001488=KeyStatusSetter	{U}	//08587920
0000260C=SongVolumeTransitionA	{U}	//08587958
00002748=SongVolumeTransitionB	{U}	//08587970
0000288C=PlaySongDelayed	{U}	//08587988
000049BC=GreenTextColorAnimator	{U}	//08588284
000054C4=HiObjKeeper	{U}	//08590FDC
00005734=FaceEyeLogic	{U}	//08591264
00006C30=DialogueSkipInputListener	{U}	//08591340
00006A18=DialogueMain	{U}	//08591358
00007294=DialoguePauseTimer	{U}	//085913D0
00006BF4=TextBluArrowAndButtonChecker	{U}	//085913F0
00007E90=DialogueTextChoice	{U}	//085914B0
000083F4=DialogueBoxAppearingAnimation	{U}	//08591530
0000975C=APProc	{U}	//0859168C
0000D09C=MapEventEngine	{U}	//08591AC0
0000D194=BattleEventEngine	{U}	//08591AF8
0000E694=FaceWitness	{U}	//08591DE8
000114A8=Popup	{U}	//085921C8
000113BC=PopupIconUpdater	{U}	//08592228
0001156C=ItemGot	{U}	//085922D0
00013CBC=FadeInBlack	{U}	//0859A024
00013CB8=FadeOutBlack	{U}	//0859A044
00013CC4=FadeInWhite	{U}	//0859A064
00013CC0=FadeOutWhite	{U}	//0859A084
00014250=Timer	{U}	//0859A0D4
0001448C=PaletteAnimator	{U}	//0859A0F8
000148E0=FutureCall2	{U}	//0859A100
00014900=FutureCall	{U}	//0859A110
000155B4=MapMain	{U}	//0859A1F0
0000FCCC=CameraMovement	{U}	//0859A548
0001BD4C=DebugMonitor	{U}	//0859AA5C
00015478=PlayerPhase	{U}	//0859AAD8
